"","Project.Plot","Plant_tag","DBH_mm","Height_m","Veg_Type","ID","Status","Distance_km"
"259","DF_3B","4331",13.8,2,"Tree","Dialium pachyphyllum","Defaunated",20.195
"260","DF_3B","7271",23.4,2,"Tree","Odoniodendron sp 1","Defaunated",20.195
"261","DF_3B","902",38.4,6,"Tree","Santiria trimera","Defaunated",20.195
"262","DF_3B","880",29.4,2,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"263","DF_3B","72",32.8,4.9,"Tree","Centroplacus glaucinus","Defaunated",20.195
"264","DF_3B","681",41.2,2.1,"Tree","Chytranthus talbotii","Defaunated",20.195
"265","DF_3B","7177",114.3,6,"Tree","Baphia leptobotris","Defaunated",20.195
"266","DF_3B","403",35.7,6.5,"Tree","Trichoscypha acuminata","Defaunated",20.195
"267","DF_3B","612",17.8,3,"Tree","Baphia leptobotris","Defaunated",20.195
"268","DF_3B","7510",71.12,9,"Tree","Centroplacus glaucinus","Defaunated",20.195
"269","DF_3B","2184",23.1,5,"Tree","Garcinia afzelli","Defaunated",20.195
"270","DF_3B","3168",256.54,25,"Tree","Scorodophloeus zenkeri","Defaunated",20.195
"271","DF_3B","3128",11.8,1.7,"Sapling","Afrostyrax lepidophyllus","Defaunated",20.195
"272","DF_3B","2172",41.2,7,"Tree","Eremospatha sp 1","Defaunated",20.195
"273","DF_3B","4339",18.6,2.9,"Tree","Synsepalum elongatum","Defaunated",20.195
"274","DF_3B","719",81.28,8.5,"Tree","Pausinystalia macroceras","Defaunated",20.195
"275","DF_3B","800",13.3,2.7,"Tree","Eremospatha sp 1","Defaunated",20.195
"276","DF_3B","4370",10.7,18,"Tree","Coula edulis","Defaunated",20.195
"277","DF_3B","2556",12.1,2.2,"Tree","Garcinia afzelli","Defaunated",20.195
"278","DF_3B","2439",9.8,2.1,"Tree","Eremospatha sp 1","Defaunated",20.195
"279","DF_3B","2339",16.5,3.1,"Tree","Chytranthus talbotii","Defaunated",20.195
"280","DF_3B","7596",76.2,9,"Tree","Centroplacus glaucinus","Defaunated",20.195
"281","DF_3B","3067",11.2,1.5,"Sapling","Warneckea sp 1","Defaunated",20.195
"282","DF_3B","3238",18.6,2,"Tree","Clenianthus gabonii","Defaunated",20.195
"283","DF_3B","3047",20,1.8,"Sapling","Chytranthus talbotii","Defaunated",20.195
"284","DF_3B","4340",109.22,15,"Tree","Annonidium manni","Defaunated",20.195
"285","DF_3B","7254",11.6,2.3,"Tree","Baphia leptobotris","Defaunated",20.195
"286","DF_3B","4853",16.7,2.3,"Tree","Clenianthus gabonii","Defaunated",20.195
"287","DF_3B","7101",33.7,1.9,"Sapling","Chytranthus talbotii","Defaunated",20.195
"288","DF_3B","7111",25.7,3.8,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"289","DF_3B","7196",29.4,6,"Tree","Baphia leptobotris","Defaunated",20.195
"290","DF_3B","659",12.7,2.3,"Tree","Baphia leptobotris","Defaunated",20.195
"291","DF_3B","3892",13.5,1.5,"Sapling","Afrostyrax lepidophyllus","Defaunated",20.195
"292","DF_3B","2110",6.9,1.5,"Sapling","Lichostema glanscesens","Defaunated",20.195
"293","DF_3B","2150",10.1,1.8,"Sapling","Popowia sp 1","Defaunated",20.195
"294","DF_3B","7415",30.8,3.8,"Tree","Baphia leptobotris","Defaunated",20.195
"295","DF_3B","7417",17.7,3,"Tree","Lichostema glanscesens","Defaunated",20.195
"296","DF_3B","7418",20.4,5,"Tree","Pausinystalia macroceras","Defaunated",20.195
"297","DF_3B","7264",15.3,1.9,"Sapling","Rhinorea sp 1","Defaunated",20.195
"298","DF_3B","1490",11.2,2.2,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"299","DF_3B","2824",42.6,7,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"300","DF_3B","4326",37.5,7,"Tree","Centroplacus glaucinus","Defaunated",20.195
"301","DF_3B","980",38.1,6,"Tree","Baphia leptobotris","Defaunated",20.195
"302","DF_3B","230",13.3,3,"Tree","Centroplacus glaucinus","Defaunated",20.195
"303","DF_3B","3044",41.2,8,"Tree","Afrostyrax lepidophyllus","Defaunated",20.195
